iso3,country,year,indicator,value
DZA,Algeria,2001,co2_per_capita_tons,2.772
DZA,Algeria,2002,co2_per_capita_tons,2.856
DZA,Algeria,2003,co2_per_capita_tons,2.939
DZA,Algeria,2004,co2_per_capita_tons,2.811
DZA,Algeria,2005,co2_per_capita_tons,3.352
DZA,Algeria,2006,co2_per_capita_tons,3.149
DZA,Algeria,2007,co2_per_capita_tons,3.214
DZA,Algeria,2008,co2_per_capita_tons,3.191
DZA,Algeria,2009,co2_per_capita_tons,3.349
DZA,Algeria,2010,co2_per_capita_tons,3.27
DZA,Algeria,2011,co2_per_capita_tons,3.39
DZA,Algeria,2012,co2_per_capita_tons,3.604
DZA,Algeria,2013,co2_per_capita_tons,3.665
DZA,Algeria,2014,co2_per_capita_tons,3.859
DZA,Algeria,2015,co2_per_capita_tons,4.0
DZA,Algeria,2016,co2_per_capita_tons,3.88
DZA,Algeria,2017,co2_per_capita_tons,3.962
DZA,Algeria,2018,co2_per_capita_tons,4.063
DZA,Algeria,2019,co2_per_capita_tons,4.155
DZA,Algeria,2020,co2_per_capita_tons,3.819
DZA,Algeria,2021,co2_per_capita_tons,4.012
DZA,Algeria,2022,co2_per_capita_tons,4.058
DZA,Algeria,2023,co2_per_capita_tons,3.859
AND,Andorra,1990,co2_per_capita_tons,7.73
AND,Andorra,1991,co2_per_capita_tons,7.174
AND,Andorra,1992,co2_per_capita_tons,6.754
AND,Andorra,1993,co2_per_capita_tons,6.484
AND,Andorra,1994,co2_per_capita_tons,6.293
AND,Andorra,1995,co2_per_capita_tons,6.648
AND,Andorra,1996,co2_per_capita_tons,7.098
AND,Andorra,1997,co2_per_capita_tons,7.19
AND,Andorra,1998,co2_per_capita_tons,7.507
AND,Andorra,1999,co2_per_capita_tons,7.804
AND,Andorra,2000,co2_per_capita_tons,7.975
AND,Andorra,2001,co2_per_capita_tons,7.954
AND,Andorra,2002,co2_per_capita_tons,7.986
AND,Andorra,2003,co2_per_capita_tons,7.696
AND,Andorra,2004,co2_per_capita_tons,7.541
AND,Andorra,2005,co2_per_capita_tons,7.429
AND,Andorra,2006,co2_per_capita_tons,6.858
AND,Andorra,2007,co2_per_capita_tons,6.576
AND,Andorra,2008,co2_per_capita_tons,6.449
AND,Andorra,2009,co2_per_capita_tons,6.157
AND,Andorra,2010,co2_per_capita_tons,6.4
AND,Andorra,2011,co2_per_capita_tons,6.311
AND,Andorra,2012,co2_per_capita_tons,6.34
AND,Andorra,2013,co2_per_capita_tons,6.332
AND,Andorra,2014,co2_per_capita_tons,6.259
AND,Andorra,2015,co2_per_capita_tons,6.446
AND,Andorra,2016,co2_per_capita_tons,6.496
AND,Andorra,2017,co2_per_capita_tons,6.357
AND,Andorra,2018,co2_per_capita_tons,6.628
AND,Andorra,2019,co2_per_capita_tons,6.419
AND,Andorra,2020,co2_per_capita_tons,4.923
AND,Andorra,2021,co2_per_capita_tons,5.236
AND,Andorra,2022,co2_per_capita_tons,5.263
AND,Andorra,2023,co2_per_capita_tons,5.242
AGO,Angola,1990,co2_per_capita_tons,0.438
AGO,Angola,1991,co2_per_capita_tons,0.421
AGO,Angola,1992,co2_per_capita_tons,0.416
AGO,Angola,1993,co2_per_capita_tons,0.448
AGO,Angola,1994,co2_per_capita_tons,0.857
AGO,Angola,1995,co2_per_capita_tons,0.921
AGO,Angola,1996,co2_per_capita_tons,1.076
AGO,Angola,1997,co2_per_capita_tons,1.083
AGO,Angola,1998,co2_per_capita_tons,1.089
AGO,Angola,1999,co2_per_capita_tons,1.102
AGO,Angola,2000,co2_per_capita_tons,0.988
AGO,Angola,2001,co2_per_capita_tons,0.95
AGO,Angola,2002,co2_per_capita_tons,0.928
AGO,Angola,2003,co2_per_capita_tons,0.974
AGO,Angola,2004,co2_per_capita_tons,0.915
AGO,Angola,2005,co2_per_capita_tons,0.798
AGO,Angola,2006,co2_per_capita_tons,0.857
AGO,Angola,2007,co2_per_capita_tons,0.846
AGO,Angola,2008,co2_per_capita_tons,0.869
AGO,Angola,2009,co2_per_capita_tons,0.922
AGO,Angola,2010,co2_per_capita_tons,0.987
AGO,Angola,2011,co2_per_capita_tons,0.966
AGO,Angola,2012,co2_per_capita_tons,1.03
AGO,Angola,2013,co2_per_capita_tons,0.983
AGO,Angola,2014,co2_per_capita_tons,0.961
AGO,Angola,2015,co2_per_capita_tons,0.977
AGO,Angola,2016,co2_per_capita_tons,0.873
AGO,Angola,2017,co2_per_capita_tons,0.78
AGO,Angola,2018,co2_per_capita_tons,0.745
AGO,Angola,2019,co2_per_capita_tons,0.681
AGO,Angola,2020,co2_per_capita_tons,0.494
AGO,Angola,2021,co2_per_capita_tons,0.556
AGO,Angola,2022,co2_per_capita_tons,0.568
AGO,Angola,2023,co2_per_capita_tons,0.565
ATG,Antigua and Barbuda,1990,co2_per_capita_tons,3.833
ATG,Antigua and Barbuda,1991,co2_per_capita_tons,3.929
ATG,Antigua and Barbuda,1992,co2_per_capita_tons,3.868
ATG,Antigua and Barbuda,1993,co2_per_capita_tons,3.91
ATG,Antigua and Barbuda,1994,co2_per_capita_tons,4.0
ATG,Antigua and Barbuda,1995,co2_per_capita_tons,3.975
ATG,Antigua and Barbuda,1996,co2_per_capita_tons,4.157
ATG,Antigua and Barbuda,1997,co2_per_capita_tons,4.382
ATG,Antigua and Barbuda,1998,co2_per_capita_tons,4.452
ATG,Antigua and Barbuda,1999,co2_per_capita_tons,4.674
ATG,Antigua and Barbuda,2000,co2_per_capita_tons,4.743
ATG,Antigua and Barbuda,2001,co2_per_capita_tons,4.864
ATG,Antigua and Barbuda,2002,co2_per_capita_tons,5.279
ATG,Antigua and Barbuda,2003,co2_per_capita_tons,5.503
ATG,Antigua and Barbuda,2004,co2_per_capita_tons,5.724
ATG,Antigua and Barbuda,2005,co2_per_capita_tons,6.028
ATG,Antigua and Barbuda,2006,co2_per_capita_tons,6.408
ATG,Antigua and Barbuda,2007,co2_per_capita_tons,6.546
ATG,Antigua and Barbuda,2008,co2_per_capita_tons,6.495
ATG,Antigua and Barbuda,2009,co2_per_capita_tons,6.615
ATG,Antigua and Barbuda,2010,co2_per_capita_tons,6.44
ATG,Antigua and Barbuda,2011,co2_per_capita_tons,6.322
ATG,Antigua and Barbuda,2012,co2_per_capita_tons,6.381
ATG,Antigua and Barbuda,2013,co2_per_capita_tons,6.323
ATG,Antigua and Barbuda,2014,co2_per_capita_tons,6.397
ATG,Antigua and Barbuda,2015,co2_per_capita_tons,6.515
ATG,Antigua and Barbuda,2016,co2_per_capita_tons,6.637
ATG,Antigua and Barbuda,2017,co2_per_capita_tons,6.681
ATG,Antigua and Barbuda,2018,co2_per_capita_tons,6.769
ATG,Antigua and Barbuda,2019,co2_per_capita_tons,7.017
ATG,Antigua and Barbuda,2020,co2_per_capita_tons,6.741
ATG,Antigua and Barbuda,2021,co2_per_capita_tons,6.903
ATG,Antigua and Barbuda,2022,co2_per_capita_tons,6.657
ATG,Antigua and Barbuda,2023,co2_per_capita_tons,6.909
ARG,Argentina,1990,co2_per_capita_tons,3.424
ARG,Argentina,1991,co2_per_capita_tons,3.544
ARG,Argentina,1992,co2_per_capita_tons,3.607
ARG,Argentina,1993,co2_per_capita_tons,3.455
ARG,Argentina,1994,co2_per_capita_tons,3.423
ARG,Argentina,1995,co2_per_capita_tons,3.572
ARG,Argentina,1996,co2_per_capita_tons,3.693
ARG,Argentina,1997,co2_per_capita_tons,3.799
ARG,Argentina,1998,co2_per_capita_tons,3.83
ARG,Argentina,1999,co2_per_capita_tons,4.031
ARG,Argentina,2000,co2_per_capita_tons,3.855
ARG,Argentina,2001,co2_per_capita_tons,3.592
ARG,Argentina,2002,co2_per_capita_tons,3.285
ARG,Argentina,2003,co2_per_capita_tons,3.5
ARG,Argentina,2004,co2_per_capita_tons,4.046
ARG,Argentina,2005,co2_per_capita_tons,4.12
ARG,Argentina,2006,co2_per_capita_tons,4.399
ARG,Argentina,2007,co2_per_capita_tons,4.338
ARG,Argentina,2008,co2_per_capita_tons,4.634
ARG,Argentina,2009,co2_per_capita_tons,4.361
ARG,Argentina,2010,co2_per_capita_tons,4.504
ARG,Argentina,2011,co2_per_capita_tons,4.548
ARG,Argentina,2012,co2_per_capita_tons,4.539
ARG,Argentina,2013,co2_per_capita_tons,4.451
ARG,Argentina,2014,co2_per_capita_tons,4.379
ARG,Argentina,2015,co2_per_capita_tons,4.41
ARG,Argentina,2016,co2_per_capita_tons,4.326
ARG,Argentina,2017,co2_per_capita_tons,4.22
ARG,Argentina,2018,co2_per_capita_tons,4.044
ARG,Argentina,2019,co2_per_capita_tons,3.969
ARG,Argentina,2020,co2_per_capita_tons,3.654
ARG,Argentina,2021,co2_per_capita_tons,4.218
ARG,Argentina,2022,co2_per_capita_tons,4.494
ARG,Argentina,2023,co2_per_capita_tons,4.3
ARM,Armenia,1990,co2_per_capita_tons,2.533
ARM,Armenia,1991,co2_per_capita_tons,2.042
ARM,Armenia,1992,co2_per_capita_tons,1.602
ARM,Armenia,1993,co2_per_capita_tons,0.727
ARM,Armenia,1994,co2_per_capita_tons,0.798
ARM,Armenia,1995,co2_per_capita_tons,1.017
ARM,Armenia,1996,co2_per_capita_tons,0.763
ARM,Armenia,1997,co2_per_capita_tons,1.002
ARM,Armenia,1998,co2_per_capita_tons,1.066
ARM,Armenia,1999,co2_per_capita_tons,0.96
ARM,Armenia,2000,co2_per_capita_tons,1.117
ARM,Armenia,2001,co2_per_capita_tons,1.145
ARM,Armenia,2002,co2_per_capita_tons,1.007
ARM,Armenia,2003,co2_per_capita_tons,1.137
ARM,Armenia,2004,co2_per_capita_tons,1.221
ARM,Armenia,2005,co2_per_capita_tons,1.456
ARM,Armenia,2006,co2_per_capita_tons,1.472
ARM,Armenia,2007,co2_per_capita_tons,1.714
ARM,Armenia,2008,co2_per_capita_tons,1.883
ARM,Armenia,2009,co2_per_capita_tons,1.481
ARM,Armenia,2010,co2_per_capita_tons,1.451
ARM,Armenia,2011,co2_per_capita_tons,1.7
ARM,Armenia,2012,co2_per_capita_tons,1.967
ARM,Armenia,2013,co2_per_capita_tons,1.894
ARM,Armenia,2014,co2_per_capita_tons,1.918
ARM,Armenia,2015,co2_per_capita_tons,1.872
ARM,Armenia,2016,co2_per_capita_tons,1.783
ARM,Armenia,2017,co2_per_capita_tons,1.901
ARM,Armenia,2018,co2_per_capita_tons,2.001
ARM,Armenia,2019,co2_per_capita_tons,2.164
ARM,Armenia,2020,co2_per_capita_tons,2.351
ARM,Armenia,2021,co2_per_capita_tons,2.584
ARM,Armenia,2022,co2_per_capita_tons,2.487
ARM,Armenia,2023,co2_per_capita_tons,2.585
ABW,Aruba,1990,co2_per_capita_tons,7.561
ABW,Aruba,1991,co2_per_capita_tons,7.981
ABW,Aruba,1992,co2_per_capita_tons,7.818
ABW,Aruba,1993,co2_per_capita_tons,9.123
ABW,Aruba,1994,co2_per_capita_tons,8.976
ABW,Aruba,1995,co2_per_capita_tons,9.313
ABW,Aruba,1996,co2_per_capita_tons,9.242
ABW,Aruba,1997,co2_per_capita_tons,9.35
ABW,Aruba,1998,co2_per_capita_tons,9.621
ABW,Aruba,1999,co2_per_capita_tons,9.363
ABW,Aruba,2000,co2_per_capita_tons,26.787
ABW,Aruba,2001,co2_per_capita_tons,26.652
ABW,Aruba,2002,co2_per_capita_tons,26.661
ABW,Aruba,2003,co2_per_capita_tons,27.741
ABW,Aruba,2004,co2_per_capita_tons,28.063
ABW,Aruba,2005,co2_per_capita_tons,28.849
ABW,Aruba,2006,co2_per_capita_tons,28.458
ABW,Aruba,2007,co2_per_capita_tons,29.205
ABW,Aruba,2008,co2_per_capita_tons,27.157
ABW,Aruba,2009,co2_per_capita_tons,26.526
ABW,Aruba,2010,co2_per_capita_tons,25.03
ABW,Aruba,2011,co2_per_capita_tons,24.743
ABW,Aruba,2012,co2_per_capita_tons,13.248
ABW,Aruba,2013,co2_per_capita_tons,8.395
ABW,Aruba,2014,co2_per_capita_tons,8.435
ABW,Aruba,2015,co2_per_capita_tons,8.615
ABW,Aruba,2016,co2_per_capita_tons,8.411
ABW,Aruba,2017,co2_per_capita_tons,8.421
ABW,Aruba,2018,co2_per_capita_tons,8.192
ABW,Aruba,2019,co2_per_capita_tons,7.732
ABW,Aruba,2020,co2_per_capita_tons,7.641
ABW,Aruba,2021,co2_per_capita_tons,7.971
ABW,Aruba,2022,co2_per_capita_tons,7.712
ABW,Aruba,2023,co2_per_capita_tons,8.033
AUS,Australia,1990,co2_per_capita_tons,16.242
AUS,Australia,1991,co2_per_capita_tons,16.109
AUS,Australia,1992,co2_per_capita_tons,16.213
AUS,Australia,1993,co2_per_capita_tons,16.299
AUS,Australia,1994,co2_per_capita_tons,16.41
AUS,Australia,1995,co2_per_capita_tons,16.858
AUS,Australia,1996,co2_per_capita_tons,17.041
AUS,Australia,1997,co2_per_capita_tons,17.311
AUS,Australia,1998,co2_per_capita_tons,17.867
AUS,Australia,1999,co2_per_capita_tons,18.189
AUS,Australia,2000,co2_per_capita_tons,18.294
AUS,Australia,2001,co2_per_capita_tons,18.475
AUS,Australia,2002,co2_per_capita_tons,18.501
AUS,Australia,2003,co2_per_capita_tons,18.65
AUS,Australia,2004,co2_per_capita_tons,19.113
AUS,Australia,2005,co2_per_capita_tons,19.029
AUS,Australia,2006,co2_per_capita_tons,19.055
AUS,Australia,2007,co2_per_capita_tons,19.064
AUS,Australia,2008,co2_per_capita_tons,18.944
AUS,Australia,2009,co2_per_capita_tons,18.689
AUS,Australia,2010,co2_per_capita_tons,18.297
AUS,Australia,2011,co2_per_capita_tons,17.965
AUS,Australia,2012,co2_per_capita_tons,17.775
AUS,Australia,2013,co2_per_capita_tons,17.174
AUS,Australia,2014,co2_per_capita_tons,16.644
AUS,Australia,2015,co2_per_capita_tons,16.765
AUS,Australia,2016,co2_per_capita_tons,16.868
AUS,Australia,2017,co2_per_capita_tons,16.733
AUS,Australia,2018,co2_per_capita_tons,16.544
AUS,Australia,2019,co2_per_capita_tons,16.316
AUS,Australia,2020,co2_per_capita_tons,15.506
AUS,Australia,2021,co2_per_capita_tons,14.987
AUS,Australia,2022,co2_per_capita_tons,14.67
AUS,Australia,2023,co2_per_capita_tons,14.478
AUT,Austria,1990,co2_per_capita_tons,8.097
AUT,Austria,1991,co2_per_capita_tons,8.48
AUT,Austria,1992,co2_per_capita_tons,7.686
AUT,Austria,1993,co2_per_capita_tons,7.677
AUT,Austria,1994,co2_per_capita_tons,7.695
AUT,Austria,1995,co2_per_capita_tons,8.058
AUT,Austria,1996,co2_per_capita_tons,8.467
AUT,Austria,1997,co2_per_capita_tons,8.445
AUT,Austria,1998,co2_per_capita_tons,8.39
AUT,Austria,1999,co2_per_capita_tons,8.215
AUT,Austria,2000,co2_per_capita_tons,8.259
AUT,Austria,2001,co2_per_capita_tons,8.725
AUT,Austria,2002,co2_per_capita_tons,8.905
AUT,Austria,2003,co2_per_capita_tons,9.528
AUT,Austria,2004,co2_per_capita_tons,9.506
AUT,Austria,2005,co2_per_capita_tons,9.611
AUT,Austria,2006,co2_per_capita_tons,9.288
AUT,Austria,2007,co2_per_capita_tons,8.932
AUT,Austria,2008,co2_per_capita_tons,8.829
AUT,Austria,2009,co2_per_capita_tons,8.065
AUT,Austria,2010,co2_per_capita_tons,8.608
AUT,Austria,2011,co2_per_capita_tons,8.328
AUT,Austria,2012,co2_per_capita_tons,7.979
AUT,Austria,2013,co2_per_capita_tons,7.99
AUT,Austria,2014,co2_per_capita_tons,7.507
AUT,Austria,2015,co2_per_capita_tons,7.677
AUT,Austria,2016,co2_per_capita_tons,7.693
AUT,Austria,2017,co2_per_capita_tons,7.91
AUT,Austria,2018,co2_per_capita_tons,7.528
AUT,Austria,2019,co2_per_capita_tons,7.651
AUT,Austria,2020,co2_per_capita_tons,6.969
AUT,Austria,2021,co2_per_capita_tons,7.333
AUT,Austria,2022,co2_per_capita_tons,6.783
AUT,Austria,2023,co2_per_capita_tons,6.416
AZE,Azerbaijan,1990,co2_per_capita_tons,7.097
AZE,Azerbaijan,1991,co2_per_capita_tons,6.842
AZE,Azerbaijan,1992,co2_per_capita_tons,7.585
AZE,Azerbaijan,1993,co2_per_capita_tons,6.451
AZE,Azerbaijan,1994,co2_per_capita_tons,5.513
AZE,Azerbaijan,1995,co2_per_capita_tons,4.315
AZE,Azerbaijan,1996,co2_per_capita_tons,3.99
AZE,Azerbaijan,1997,co2_per_capita_tons,3.76
AZE,Azerbaijan,1998,co2_per_capita_tons,3.96
AZE,Azerbaijan,1999,co2_per_capita_tons,3.558
AZE,Azerbaijan,2000,co2_per_capita_tons,3.641
AZE,Azerbaijan,2001,co2_per_capita_tons,3.444
AZE,Azerbaijan,2002,co2_per_capita_tons,3.431
AZE,Azerbaijan,2003,co2_per_capita_tons,3.629
AZE,Azerbaijan,2004,co2_per_capita_tons,3.799
AZE,Azerbaijan,2005,co2_per_capita_tons,3.977
AZE,Azerbaijan,2006,co2_per_capita_tons,3.963
AZE,Azerbaijan,2007,co2_per_capita_tons,3.402
AZE,Azerbaijan,2008,co2_per_capita_tons,3.694
AZE,Azerbaijan,2009,co2_per_capita_tons,3.217
AZE,Azerbaijan,2010,co2_per_capita_tons,3.012
AZE,Azerbaijan,2011,co2_per_capita_tons,3.264
AZE,Azerbaijan,2012,co2_per_capita_tons,3.495
AZE,Azerbaijan,2013,co2_per_capita_tons,3.53
AZE,Azerbaijan,2014,co2_per_capita_tons,3.566
AZE,Azerbaijan,2015,co2_per_capita_tons,3.556
AZE,Azerbaijan,2016,co2_per_capita_tons,3.519
AZE,Azerbaijan,2017,co2_per_capita_tons,3.481
AZE,Azerbaijan,2018,co2_per_capita_tons,3.443
AZE,Azerbaijan,2019,co2_per_capita_tons,3.733
AZE,Azerbaijan,2020,co2_per_capita_tons,3.559
AZE,Azerbaijan,2021,co2_per_capita_tons,3.742
AZE,Azerbaijan,2022,co2_per_capita_tons,3.923
AZE,Azerbaijan,2023,co2_per_capita_tons,4.258
BHS,Bahamas,1990,co2_per_capita_tons,7.329
BHS,Bahamas,1991,co2_per_capita_tons,7.113
BHS,Bahamas,1992,co2_per_capita_tons,6.535
BHS,Bahamas,1993,co2_per_capita_tons,5.986
BHS,Bahamas,1994,co2_per_capita_tons,5.968
BHS,Bahamas,1995,co2_per_capita_tons,6.101
BHS,Bahamas,1996,co2_per_capita_tons,5.922
BHS,Bahamas,1997,co2_per_capita_tons,5.173
BHS,Bahamas,1998,co2_per_capita_tons,6.309
BHS,Bahamas,1999,co2_per_capita_tons,6.362
BHS,Bahamas,2000,co2_per_capita_tons,6.257
BHS,Bahamas,2001,co2_per_capita_tons,5.934
BHS,Bahamas,2002,co2_per_capita_tons,6.143
BHS,Bahamas,2003,co2_per_capita_tons,6.168
BHS,Bahamas,2004,co2_per_capita_tons,6.028
BHS,Bahamas,2005,co2_per_capita_tons,5.54
BHS,Bahamas,2006,co2_per_capita_tons,5.322
BHS,Bahamas,2007,co2_per_capita_tons,5.299
BHS,Bahamas,2008,co2_per_capita_tons,5.351
BHS,Bahamas,2009,co2_per_capita_tons,5.938
BHS,Bahamas,2010,co2_per_capita_tons,6.062
BHS,Bahamas,2011,co2_per_capita_tons,5.687
BHS,Bahamas,2012,co2_per_capita_tons,5.465
BHS,Bahamas,2013,co2_per_capita_tons,5.25
BHS,Bahamas,2014,co2_per_capita_tons,5.405
BHS,Bahamas,2015,co2_per_capita_tons,5.781
BHS,Bahamas,2016,co2_per_capita_tons,5.76
BHS,Bahamas,2017,co2_per_capita_tons,6.343
BHS,Bahamas,2018,co2_per_capita_tons,6.204
BHS,Bahamas,2019,co2_per_capita_tons,6.35
BHS,Bahamas,2020,co2_per_capita_tons,5.137
BHS,Bahamas,2021,co2_per_capita_tons,6.249
BHS,Bahamas,2022,co2_per_capita_tons,6.041
BHS,Bahamas,2023,co2_per_capita_tons,6.272
BHR,Bahrain,1990,co2_per_capita_tons,22.327
BHR,Bahrain,1991,co2_per_capita_tons,21.3
BHR,Bahrain,1992,co2_per_capita_tons,18.99
BHR,Bahrain,1993,co2_per_capita_tons,29.758
BHR,Bahrain,1994,co2_per_capita_tons,24.832
BHR,Bahrain,1995,co2_per_capita_tons,24.854
BHR,Bahrain,1996,co2_per_capita_tons,26.195
BHR,Bahrain,1997,co2_per_capita_tons,27.597
BHR,Bahrain,1998,co2_per_capita_tons,28.583
BHR,Bahrain,1999,co2_per_capita_tons,27.885
BHR,Bahrain,2000,co2_per_capita_tons,28.673
BHR,Bahrain,2001,co2_per_capita_tons,28.115
BHR,Bahrain,2002,co2_per_capita_tons,26.737
BHR,Bahrain,2003,co2_per_capita_tons,25.856
BHR,Bahrain,2004,co2_per_capita_tons,24.331
BHR,Bahrain,2005,co2_per_capita_tons,26.256
BHR,Bahrain,2006,co2_per_capita_tons,24.166
BHR,Bahrain,2007,co2_per_capita_tons,25.18
BHR,Bahrain,2008,co2_per_capita_tons,26.344
BHR,Bahrain,2009,co2_per_capita_tons,23.739
BHR,Bahrain,2010,co2_per_capita_tons,23.965
BHR,Bahrain,2011,co2_per_capita_tons,23.591
BHR,Bahrain,2012,co2_per_capita_tons,22.296
BHR,Bahrain,2013,co2_per_capita_tons,24.783
BHR,Bahrain,2014,co2_per_capita_tons,23.536
BHR,Bahrain,2015,co2_per_capita_tons,23.699
BHR,Bahrain,2016,co2_per_capita_tons,22.076
BHR,Bahrain,2017,co2_per_capita_tons,22.156
BHR,Bahrain,2018,co2_per_capita_tons,21.79
BHR,Bahrain,2019,co2_per_capita_tons,25.295
BHR,Bahrain,2020,co2_per_capita_tons,25.215
BHR,Bahrain,2021,co2_per_capita_tons,24.102
BHR,Bahrain,2022,co2_per_capita_tons,23.249
BHR,Bahrain,2023,co2_per_capita_tons,23.27
BGD,Bangladesh,1990,co2_per_capita_tons,0.126
BGD,Bangladesh,1991,co2_per_capita_tons,0.13
BGD,Bangladesh,1992,co2_per_capita_tons,0.133
BGD,Bangladesh,1993,co2_per_capita_tons,0.136
BGD,Bangladesh,1994,co2_per_capita_tons,0.146
BGD,Bangladesh,1995,co2_per_capita_tons,0.172
BGD,Bangladesh,1996,co2_per_capita_tons,0.172
BGD,Bangladesh,1997,co2_per_capita_tons,0.182
BGD,Bangladesh,1998,co2_per_capita_tons,0.179
BGD,Bangladesh,1999,co2_per_capita_tons,0.19
BGD,Bangladesh,2000,co2_per_capita_tons,0.197
BGD,Bangladesh,2001,co2_per_capita_tons,0.227
BGD,Bangladesh,2002,co2_per_capita_tons,0.23
BGD,Bangladesh,2003,co2_per_capita_tons,0.238
BGD,Bangladesh,2004,co2_per_capita_tons,0.252
BGD,Bangladesh,2005,co2_per_capita_tons,0.261
BGD,Bangladesh,2006,co2_per_capita_tons,0.285
BGD,Bangladesh,2007,co2_per_capita_tons,0.288
BGD,Bangladesh,2008,co2_per_capita_tons,0.303
BGD,Bangladesh,2009,co2_per_capita_tons,0.326
BGD,Bangladesh,2010,co2_per_capita_tons,0.355
BGD,Bangladesh,2011,co2_per_capita_tons,0.362
BGD,Bangladesh,2012,co2_per_capita_tons,0.385
BGD,Bangladesh,2013,co2_per_capita_tons,0.414
BGD,Bangladesh,2014,co2_per_capita_tons,0.428
BGD,Bangladesh,2015,co2_per_capita_tons,0.483
BGD,Bangladesh,2016,co2_per_capita_tons,0.508
BGD,Bangladesh,2017,co2_per_capita_tons,0.534
BGD,Bangladesh,2018,co2_per_capita_tons,0.53
